id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
17983,IL02,small_airport,Herbert C. Maas Airport,42.47219849,-87.90840149,719,NA,US,US-IL,Zion,no,IL02,,IL02,,,
17984,IL03,heliport,Columbia Hoffman Estates Medical Center Heliport,42.05279922,-88.14009857,807,NA,US,US-IL,Hoffman Estates,no,IL03,,IL03,,,
17985,IL04,heliport,Methodist Medical Center of Illinois Heliport,40.70059967,-89.59480286,631,NA,US,US-IL,Peoria,no,IL04,,IL04,,,
17986,IL05,small_airport,Bingham Airport,42.44029999,-88.48899841,980,NA,US,US-IL,Alden,no,IL05,,IL05,,,
345328,IL06,heliport,Hopedale Medical Complex Heliport,40.417535,-89.41619,643,NA,US,US-IL,Hopedale,no,IL06,,IL06,,,
17987,IL07,small_airport,Taylor Airport,41.72359848,-89.29180145,760,NA,US,US-IL,Amboy,no,IL07,,IL07,,,
17988,IL08,heliport,Good Shepherd Hospital Heliport,42.19589996,-88.17289734,793,NA,US,US-IL,Barrington,no,IL08,,IL08,,,
17989,IL09,closed,Albrecht /2/ Airport,41.631401,-89.405098,802,NA,US,US-IL,Amboy,no,,,,,,IL09
17990,IL11,small_airport,Donald Alfred Gade Airport,42.46530151,-88.04039764,805,NA,US,US-IL,Antioch,no,IL11,,IL11,,,
17991,IL12,small_airport,Kinsey RLA Restricted Landing Area,39.88000107,-90.46510315,455,NA,US,US-IL,Arenzville,no,IL12,,IL12,,,
17992,IL13,small_airport,Funfsinn Airport,41.47079849,-89.18080139,715,NA,US,US-IL,Arlington,no,IL13,,IL13,,,
17993,IL14,heliport,Stark Heliport,40.47999954,-89.021698,750,NA,US,US-IL,Bloomington,no,IL14,,IL14,,,
17994,IL15,small_airport,Runyan Aviation Airport,40.56940079,-90.54869843,660,NA,US,US-IL,Bushnell,no,IL15,,IL15,,,
17995,IL16,small_airport,Houseman Airport,37.5401001,-89.12259674,800,NA,US,US-IL,Cobden,no,IL16,,IL16,,,
17996,IL17,closed,Center Point Heliport,41.849701,-87.9272,660,NA,US,US-IL,Oak Brook,no,,,,,,IL17
17997,IL18,small_airport,Crook Restricted Landing Area,38.38700104,-90.19180298,580,NA,US,US-IL,Columbia,no,IL18,,IL18,,,
17998,IL19,heliport,Shawnee Community College Heliport,37.26720047,-89.03220367,440,NA,US,US-IL,Ullin,no,IL19,,IL19,,,
17999,IL20,heliport,Il Emergency Operations Center Heliport,39.6114006,-89.60440063,590,NA,US,US-IL,Springfield,no,IL20,,IL20,,,
18000,IL21,heliport,Presence Mercy Medical Center Heliport,41.785811,-88.324533,700,NA,US,US-IL,Aurora,no,IL21,,IL21,,,Mercy Center For Health Care Services Heliport
18001,IL22,closed,Heeg Airport,41.007111,-90.882896,600,NA,US,US-IL,Oquawka,no,,,,,,IL22
18002,IL23,small_airport,Ellis Airport,42.44250107,-89.45010376,900,NA,US,US-IL,Davis,no,IL23,,IL23,,,
18003,IL24,small_airport,Richardson Airport,39.70750046,-89.88310242,653,NA,US,US-IL,New Berlin,no,IL24,,IL24,,,
18004,IL25,heliport,Bromenn Hospital Heliport,40.49639893,-88.99079895,810,NA,US,US-IL,Normal,no,IL25,,IL25,,,
18005,IL26,heliport,Fayette County Hospital Heliport,38.96920013,-89.09609985,521,NA,US,US-IL,Vandalia,no,IL26,,IL26,,,
18006,IL27,closed,Landis Plastics Heliport,41.678601,-87.762497,610,NA,US,US-IL,Alsip,no,,,,,,IL27
18007,IL29,closed,Von Alvens Airview Airport,41.300475,-87.654634,715,NA,US,US-IL,Beecher,no,,,,,,IL29
18008,IL31,small_airport,Cooch Landing Area Airport,39.84329987,-88.45330048,695,NA,US,US-IL,Atwood,no,IL31,,IL31,,,
18009,IL32,small_airport,Adkisson Airport,39.78329849,-88.62139893,669,NA,US,US-IL,Hammond,no,IL32,,IL32,,,
18010,IL33,closed,Sherman Hospital Heliport,42.054684,-88.280666,780,NA,US,US-IL,Elgin,no,,,,,,IL33
18011,IL34,small_airport,Henderson Field,42.2145,-88.757004,815,NA,US,US-IL,Belvidere,no,IL34,,IL34,,,
18012,IL35,closed,Redpath Restricted Landing Area,38.181999,-89.808403,470,NA,US,US-IL,Baldwin,no,,,,,,IL35
18013,IL36,small_airport,Bob Walberg Field,42.32089996,-88.75839996,840,NA,US,US-IL,Belvidere,no,IL36,,IL36,,,
18014,IL38,small_airport,J Maddock Airport,41.76699829,-88.53199768,705,NA,US,US-IL,Big Rock,no,IL38,,IL38,,,
323333,IL39,small_airport,Perry RLA Airport,39.480255,-87.8445778,691,NA,US,US-IL,Kansas,no,IL39,,IL39,,,
18015,IL40,heliport,St Joseph Medical Center - Bloomington Heliport,40.4822998,-88.95649719,855,NA,US,US-IL,Bloomington,no,IL40,,IL40,,,
18016,IL41,heliport,Rochelle Community Hospital Heliport,41.92829895,-89.06359863,817,NA,US,US-IL,Rochelle,no,IL41,,IL41,,,
18017,IL42,heliport,Centegra Hospital - Woodstock Heliport,42.276198,-88.402703,940,NA,US,US-IL,Woodstock,no,IL42,,IL42,,,Memorial Medical Center - Woodstock Heliport
18018,IL43,heliport,Rural King Supply Heliport,39.49280167,-88.41220093,715,NA,US,US-IL,Mattoon,no,IL43,,IL43,,,
